dataset,feature,space,n_subjects,n_subjects_plot,n_subjects_label,num_classes,mean_hierarchy,std_hierarchy,n_seeds,mean_pval,sem_hierarchy
motor,complexity,Trait_LDA,10,10.0,10,10,5.999049058727249,0.29197982947962914,10,0.0,0.0923321291983204
motor,complexity,Trait_LDA,20,20.0,20,6,7.440376872281478,0.3275947298082977,10,0.0,0.10359454956616759
motor,complexity,Trait_LDA,20,20.0,20,10,5.082585749670818,0.13580886223147312,10,0.0,0.042946533108747256
motor,complexity,Trait_LDA,all,105.0,all (105),6,4.577743753044045,0.0,1,0.0,0.0
motor,complexity,Trait_LDA,all,105.0,all (105),10,3.2849414760624778,0.0,1,0.0,0.0
motor,entropy,Joint_LDA,4,4.0,4,6,3.874010811747796,0.25319597291944457,10,0.0,0.08006759688077575
motor,entropy,Joint_LDA,4,4.0,4,10,2.624145708925831,0.14328152200219893,10,0.0,0.04530959561424778
motor,entropy,Joint_LDA,10,10.0,10,6,5.506610373124495,0.43007470037368806,10,0.0,0.1360015617195323
motor,entropy,Joint_LDA,10,10.0,10,10,3.816464285948922,0.22561265994396154,10,0.0,0.07134498743919548
motor,entropy,Joint_LDA,20,20.0,20,6,5.7405169196673445,0.3108958558816183,10,0.0,0.09831390196933694
motor,entropy,Joint_LDA,20,20.0,20,10,4.034786078304333,0.13407406029235047,10,0.0,0.04239794056705683
motor,entropy,Joint_LDA,all,105.0,all (105),6,5.359740787023906,0.0,1,0.0,0.0
motor,entropy,Joint_LDA,all,105.0,all (105),10,3.90764671045541,0.0,1,0.0,0.0
motor,entropy,Raw,4,4.0,4,6,5.3580724834963505,0.5672956402873639,10,0.0,0.17939463299916475
motor,entropy,Raw,4,4.0,4,10,3.7441151109800153,0.30097976735076365,10,0.0,0.0951781594455996
motor,entropy,Raw,10,10.0,10,6,6.098997957448413,0.679262956612386,10,0.0,0.21480180730752713
motor,entropy,Raw,10,10.0,10,10,3.8383355587809405,0.3699591125384912,10,0.0,0.11699134367561899
motor,entropy,Raw,20,20.0,20,6,5.507920104195855,0.2686329362158348,10,0.0,0.08494919329807715
motor,entropy,Raw,20,20.0,20,10,3.5501161353419057,0.15347593582151592,10,0.0,0.04853335232218157
motor,entropy,Raw,all,105.0,all (105),6,5.885458368845045,0.0,1,0.0,0.0
motor,entropy,Raw,all,105.0,all (105),10,3.973097265376815,0.0,1,0.0,0.0
motor,entropy,State_LDA,4,4.0,4,6,1.0315583972574334,0.05302406054837617,10,0.0005,0.016767680212354544
motor,entropy,State_LDA,4,4.0,4,10,1.0785903694618273,0.023006283893835352,10,0.0,0.007275225760096713
motor,entropy,State_LDA,10,10.0,10,6,1.4003744966594154,0.08619921152896186,10,0.0,0.027258584094216467
