Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
2,State_LDA,0,0.9414937634398552,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
3,Joint_LDA,0,1.5387362626083356,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
4,Raw,1,1.4857768779119305,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
5,Trait_LDA,1,1.619774482531826,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
6,State_LDA,1,0.9529777987266124,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
7,Joint_LDA,1,1.4270021315396904,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
8,Raw,2,1.453377997566751,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
9,Trait_LDA,2,1.6446905682862332,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
10,State_LDA,2,1.2049612074672402,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
11,Joint_LDA,2,1.487183969577135,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
12,Raw,3,1.2623399786445717,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
13,Trait_LDA,3,1.398183207155368,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
14,State_LDA,3,0.9328912370578804,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
15,Joint_LDA,3,1.288962111888903,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
16,Raw,4,1.732432380468077,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
17,Trait_LDA,4,1.871863478786905,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
18,State_LDA,4,2.1929163251249064,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
19,Joint_LDA,4,1.868357848508242,0.0,lemon,complexity,20,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n20_2_complexityclasses.csv,20.0,20,2
